job_index	model_slug	model	rep	dataset	mode	baseline	seed	baseline_position	model_position	block_index	block_key
16	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	rag	sglang_radix_attention_shadowkv_plus	20262081	3	1	2	block_02:2:xsum:rag
17	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	rag	sglang_radix_attention_shadowkv_plus	20262081	3	2	2	block_02:2:xsum:rag
18	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	rag	sglang_radix_attention_shadowkv_plus	20262081	3	3	2	block_02:2:xsum:rag
19	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	rag	sglang_radix_attention_shadowkv_plus	20263061	1	1	3	block_03:3:dolly:rag
20	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	rag	sglang_radix_attention_shadowkv_plus	20263061	1	2	3	block_03:3:dolly:rag
21	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	rag	sglang_radix_attention_shadowkv_plus	20263061	1	3	3	block_03:3:dolly:rag
22	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	rag	sglang_radix_attention	20263061	2	1	3	block_03:3:dolly:rag
23	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	rag	sglang_radix_attention	20263061	2	2	3	block_03:3:dolly:rag
24	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	rag	sglang_radix_attention	20263061	2	3	3	block_03:3:dolly:rag
25	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	rag	lmcache_no_native_radix	20263061	3	1	3	block_03:3:dolly:rag
26	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	rag	lmcache_no_native_radix	20263061	3	2	3	block_03:3:dolly:rag
27	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	rag	lmcache_no_native_radix	20263061	3	3	3	block_03:3:dolly:rag
28	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	templated	sglang_radix_attention	20262080	1	1	4	block_04:2:xsum:templated
29	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	templated	sglang_radix_attention	20262080	1	2	4	block_04:2:xsum:templated
30	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	templated	sglang_radix_attention	20262080	1	3	4	block_04:2:xsum:templated
31	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	templated	lmcache_no_native_radix	20262080	2	1	4	block_04:2:xsum:templated
32	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	templated	lmcache_no_native_radix	20262080	2	2	4	block_04:2:xsum:templated
33	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	templated	lmcache_no_native_radix	20262080	2	3	4	block_04:2:xsum:templated
34	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	templated	sglang_radix_attention_shadowkv_plus	20262080	3	1	4	block_04:2:xsum:templated
35	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	templated	sglang_radix_attention_shadowkv_plus	20262080	3	2	4	block_04:2:xsum:templated
36	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	templated	sglang_radix_attention_shadowkv_plus	20262080	3	3	4	block_04:2:xsum:templated
37	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20263001	1	1	5	block_05:3:daily_dialog:rag
38	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20263001	1	2	5	block_05:3:daily_dialog:rag
39	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20263001	1	3	5	block_05:3:daily_dialog:rag
40	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	daily_dialog	rag	lmcache_no_native_radix	20263001	2	1	5	block_05:3:daily_dialog:rag
41	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	daily_dialog	rag	lmcache_no_native_radix	20263001	2	2	5	block_05:3:daily_dialog:rag
42	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	daily_dialog	rag	lmcache_no_native_radix	20263001	2	3	5	block_05:3:daily_dialog:rag
43	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	daily_dialog	rag	sglang_radix_attention	20263001	3	1	5	block_05:3:daily_dialog:rag
44	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	daily_dialog	rag	sglang_radix_attention	20263001	3	2	5	block_05:3:daily_dialog:rag
45	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	daily_dialog	rag	sglang_radix_attention	20263001	3	3	5	block_05:3:daily_dialog:rag
46	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	daily_dialog	rag	lmcache_no_native_radix	20262001	1	1	6	block_06:2:daily_dialog:rag
47	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	daily_dialog	rag	lmcache_no_native_radix	20262001	1	2	6	block_06:2:daily_dialog:rag
48	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	daily_dialog	rag	lmcache_no_native_radix	20262001	1	3	6	block_06:2:daily_dialog:rag
49	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20262001	2	1	6	block_06:2:daily_dialog:rag
50	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20262001	2	2	6	block_06:2:daily_dialog:rag
51	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20262001	2	3	6	block_06:2:daily_dialog:rag
52	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	daily_dialog	rag	sglang_radix_attention	20262001	3	1	6	block_06:2:daily_dialog:rag
53	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	daily_dialog	rag	sglang_radix_attention	20262001	3	2	6	block_06:2:daily_dialog:rag
54	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	daily_dialog	rag	sglang_radix_attention	20262001	3	3	6	block_06:2:daily_dialog:rag
55	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	ag_news	rag	lmcache_no_native_radix	20262041	1	1	7	block_07:2:ag_news:rag
56	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	ag_news	rag	lmcache_no_native_radix	20262041	1	2	7	block_07:2:ag_news:rag
57	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	ag_news	rag	lmcache_no_native_radix	20262041	1	3	7	block_07:2:ag_news:rag
58	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	ag_news	rag	sglang_radix_attention	20262041	2	1	7	block_07:2:ag_news:rag
59	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	ag_news	rag	sglang_radix_attention	20262041	2	2	7	block_07:2:ag_news:rag
60	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	ag_news	rag	sglang_radix_attention	20262041	2	3	7	block_07:2:ag_news:rag
61	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	ag_news	rag	sglang_radix_attention_shadowkv_plus	20262041	3	1	7	block_07:2:ag_news:rag
62	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	ag_news	rag	sglang_radix_attention_shadowkv_plus	20262041	3	2	7	block_07:2:ag_news:rag
63	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	ag_news	rag	sglang_radix_attention_shadowkv_plus	20262041	3	3	7	block_07:2:ag_news:rag
64	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	xsum	rag	sglang_radix_attention	20263081	1	1	8	block_08:3:xsum:rag
65	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	xsum	rag	sglang_radix_attention	20263081	1	2	8	block_08:3:xsum:rag
66	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	xsum	rag	sglang_radix_attention	20263081	1	3	8	block_08:3:xsum:rag
67	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	xsum	rag	lmcache_no_native_radix	20263081	2	1	8	block_08:3:xsum:rag
68	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	xsum	rag	lmcache_no_native_radix	20263081	2	2	8	block_08:3:xsum:rag
69	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	xsum	rag	lmcache_no_native_radix	20263081	2	3	8	block_08:3:xsum:rag
70	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	xsum	rag	sglang_radix_attention_shadowkv_plus	20263081	3	1	8	block_08:3:xsum:rag
71	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	xsum	rag	sglang_radix_attention_shadowkv_plus	20263081	3	2	8	block_08:3:xsum:rag
72	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	xsum	rag	sglang_radix_attention_shadowkv_plus	20263081	3	3	8	block_08:3:xsum:rag
73	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	rag	sglang_radix_attention_shadowkv_plus	20261041	1	1	9	block_09:1:ag_news:rag
74	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	rag	sglang_radix_attention_shadowkv_plus	20261041	1	2	9	block_09:1:ag_news:rag
75	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	rag	sglang_radix_attention_shadowkv_plus	20261041	1	3	9	block_09:1:ag_news:rag
76	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	rag	sglang_radix_attention	20261041	2	1	9	block_09:1:ag_news:rag
77	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	rag	sglang_radix_attention	20261041	2	2	9	block_09:1:ag_news:rag
78	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	rag	sglang_radix_attention	20261041	2	3	9	block_09:1:ag_news:rag
79	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	rag	lmcache_no_native_radix	20261041	3	1	9	block_09:1:ag_news:rag
80	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	rag	lmcache_no_native_radix	20261041	3	2	9	block_09:1:ag_news:rag
81	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	rag	lmcache_no_native_radix	20261041	3	3	9	block_09:1:ag_news:rag
82	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	rag	lmcache_no_native_radix	20261001	1	1	10	block_10:1:daily_dialog:rag
83	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	rag	lmcache_no_native_radix	20261001	1	2	10	block_10:1:daily_dialog:rag
84	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	rag	lmcache_no_native_radix	20261001	1	3	10	block_10:1:daily_dialog:rag
85	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20261001	2	1	10	block_10:1:daily_dialog:rag
86	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20261001	2	2	10	block_10:1:daily_dialog:rag
87	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20261001	2	3	10	block_10:1:daily_dialog:rag
88	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	rag	sglang_radix_attention	20261001	3	1	10	block_10:1:daily_dialog:rag
89	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	rag	sglang_radix_attention	20261001	3	2	10	block_10:1:daily_dialog:rag
90	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	rag	sglang_radix_attention	20261001	3	3	10	block_10:1:daily_dialog:rag
91	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	templated	sglang_radix_attention_shadowkv_plus	20261020	1	1	11	block_11:1:samsum:templated
92	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	templated	sglang_radix_attention_shadowkv_plus	20261020	1	2	11	block_11:1:samsum:templated
93	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	templated	sglang_radix_attention_shadowkv_plus	20261020	1	3	11	block_11:1:samsum:templated
94	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	templated	lmcache_no_native_radix	20261020	2	1	11	block_11:1:samsum:templated
95	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	templated	lmcache_no_native_radix	20261020	2	2	11	block_11:1:samsum:templated
96	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	templated	lmcache_no_native_radix	20261020	2	3	11	block_11:1:samsum:templated
97	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	templated	sglang_radix_attention	20261020	3	1	11	block_11:1:samsum:templated
98	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	templated	sglang_radix_attention	20261020	3	2	11	block_11:1:samsum:templated
99	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	templated	sglang_radix_attention	20261020	3	3	11	block_11:1:samsum:templated
100	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	xsum	templated	sglang_radix_attention	20261080	1	1	12	block_12:1:xsum:templated
101	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	xsum	templated	sglang_radix_attention	20261080	1	2	12	block_12:1:xsum:templated
102	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	xsum	templated	sglang_radix_attention	20261080	1	3	12	block_12:1:xsum:templated
103	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	xsum	templated	sglang_radix_attention_shadowkv_plus	20261080	2	1	12	block_12:1:xsum:templated
104	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	xsum	templated	sglang_radix_attention_shadowkv_plus	20261080	2	2	12	block_12:1:xsum:templated
105	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	xsum	templated	sglang_radix_attention_shadowkv_plus	20261080	2	3	12	block_12:1:xsum:templated
106	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	xsum	templated	lmcache_no_native_radix	20261080	3	1	12	block_12:1:xsum:templated
107	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	xsum	templated	lmcache_no_native_radix	20261080	3	2	12	block_12:1:xsum:templated
108	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	xsum	templated	lmcache_no_native_radix	20261080	3	3	12	block_12:1:xsum:templated
109	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	ag_news	rag	sglang_radix_attention_shadowkv_plus	20263041	1	1	13	block_13:3:ag_news:rag
110	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	ag_news	rag	sglang_radix_attention_shadowkv_plus	20263041	1	2	13	block_13:3:ag_news:rag
111	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	ag_news	rag	sglang_radix_attention_shadowkv_plus	20263041	1	3	13	block_13:3:ag_news:rag
112	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	ag_news	rag	lmcache_no_native_radix	20263041	2	1	13	block_13:3:ag_news:rag
113	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	ag_news	rag	lmcache_no_native_radix	20263041	2	2	13	block_13:3:ag_news:rag
114	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	ag_news	rag	lmcache_no_native_radix	20263041	2	3	13	block_13:3:ag_news:rag
115	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	ag_news	rag	sglang_radix_attention	20263041	3	1	13	block_13:3:ag_news:rag
116	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	ag_news	rag	sglang_radix_attention	20263041	3	2	13	block_13:3:ag_news:rag
117	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	ag_news	rag	sglang_radix_attention	20263041	3	3	13	block_13:3:ag_news:rag
118	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	samsum	templated	lmcache_no_native_radix	20263020	1	1	14	block_14:3:samsum:templated
119	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	samsum	templated	lmcache_no_native_radix	20263020	1	2	14	block_14:3:samsum:templated
120	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	samsum	templated	lmcache_no_native_radix	20263020	1	3	14	block_14:3:samsum:templated
121	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	samsum	templated	sglang_radix_attention_shadowkv_plus	20263020	2	1	14	block_14:3:samsum:templated
122	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	samsum	templated	sglang_radix_attention_shadowkv_plus	20263020	2	2	14	block_14:3:samsum:templated
123	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	samsum	templated	sglang_radix_attention_shadowkv_plus	20263020	2	3	14	block_14:3:samsum:templated
124	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	samsum	templated	sglang_radix_attention	20263020	3	1	14	block_14:3:samsum:templated
125	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	samsum	templated	sglang_radix_attention	20263020	3	2	14	block_14:3:samsum:templated
126	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	samsum	templated	sglang_radix_attention	20263020	3	3	14	block_14:3:samsum:templated
127	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	dolly	templated	lmcache_no_native_radix	20261060	1	1	15	block_15:1:dolly:templated
128	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	dolly	templated	lmcache_no_native_radix	20261060	1	2	15	block_15:1:dolly:templated
129	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	dolly	templated	lmcache_no_native_radix	20261060	1	3	15	block_15:1:dolly:templated
130	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	dolly	templated	sglang_radix_attention	20261060	2	1	15	block_15:1:dolly:templated
131	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	dolly	templated	sglang_radix_attention	20261060	2	2	15	block_15:1:dolly:templated
132	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	dolly	templated	sglang_radix_attention	20261060	2	3	15	block_15:1:dolly:templated
133	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	dolly	templated	sglang_radix_attention_shadowkv_plus	20261060	3	1	15	block_15:1:dolly:templated
134	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	dolly	templated	sglang_radix_attention_shadowkv_plus	20261060	3	2	15	block_15:1:dolly:templated
135	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	dolly	templated	sglang_radix_attention_shadowkv_plus	20261060	3	3	15	block_15:1:dolly:templated
136	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	templated	sglang_radix_attention_shadowkv_plus	20261040	1	1	16	block_16:1:ag_news:templated
137	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	templated	sglang_radix_attention_shadowkv_plus	20261040	1	2	16	block_16:1:ag_news:templated
138	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	templated	sglang_radix_attention_shadowkv_plus	20261040	1	3	16	block_16:1:ag_news:templated
139	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	templated	sglang_radix_attention	20261040	2	1	16	block_16:1:ag_news:templated
140	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	templated	sglang_radix_attention	20261040	2	2	16	block_16:1:ag_news:templated
141	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	templated	sglang_radix_attention	20261040	2	3	16	block_16:1:ag_news:templated
142	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	ag_news	templated	lmcache_no_native_radix	20261040	3	1	16	block_16:1:ag_news:templated
143	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	ag_news	templated	lmcache_no_native_radix	20261040	3	2	16	block_16:1:ag_news:templated
144	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	ag_news	templated	lmcache_no_native_radix	20261040	3	3	16	block_16:1:ag_news:templated
145	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	templated	sglang_radix_attention	20261000	1	1	17	block_17:1:daily_dialog:templated
146	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	templated	sglang_radix_attention	20261000	1	2	17	block_17:1:daily_dialog:templated
147	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	templated	sglang_radix_attention	20261000	1	3	17	block_17:1:daily_dialog:templated
148	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20261000	2	1	17	block_17:1:daily_dialog:templated
149	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20261000	2	2	17	block_17:1:daily_dialog:templated
150	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20261000	2	3	17	block_17:1:daily_dialog:templated
151	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	daily_dialog	templated	lmcache_no_native_radix	20261000	3	1	17	block_17:1:daily_dialog:templated
152	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	daily_dialog	templated	lmcache_no_native_radix	20261000	3	2	17	block_17:1:daily_dialog:templated
153	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	daily_dialog	templated	lmcache_no_native_radix	20261000	3	3	17	block_17:1:daily_dialog:templated
154	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	rag	sglang_radix_attention	20261021	1	1	18	block_18:1:samsum:rag
155	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	rag	sglang_radix_attention	20261021	1	2	18	block_18:1:samsum:rag
156	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	rag	sglang_radix_attention	20261021	1	3	18	block_18:1:samsum:rag
157	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	rag	lmcache_no_native_radix	20261021	2	1	18	block_18:1:samsum:rag
158	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	rag	lmcache_no_native_radix	20261021	2	2	18	block_18:1:samsum:rag
159	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	rag	lmcache_no_native_radix	20261021	2	3	18	block_18:1:samsum:rag
160	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	1	samsum	rag	sglang_radix_attention_shadowkv_plus	20261021	3	1	18	block_18:1:samsum:rag
161	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	1	samsum	rag	sglang_radix_attention_shadowkv_plus	20261021	3	2	18	block_18:1:samsum:rag
162	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	1	samsum	rag	sglang_radix_attention_shadowkv_plus	20261021	3	3	18	block_18:1:samsum:rag
163	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	samsum	templated	sglang_radix_attention	20262020	1	1	19	block_19:2:samsum:templated
164	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	samsum	templated	sglang_radix_attention	20262020	1	2	19	block_19:2:samsum:templated
165	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	samsum	templated	sglang_radix_attention	20262020	1	3	19	block_19:2:samsum:templated
166	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	samsum	templated	sglang_radix_attention_shadowkv_plus	20262020	2	1	19	block_19:2:samsum:templated
167	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	samsum	templated	sglang_radix_attention_shadowkv_plus	20262020	2	2	19	block_19:2:samsum:templated
168	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	samsum	templated	sglang_radix_attention_shadowkv_plus	20262020	2	3	19	block_19:2:samsum:templated
169	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	samsum	templated	lmcache_no_native_radix	20262020	3	1	19	block_19:2:samsum:templated
170	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	samsum	templated	lmcache_no_native_radix	20262020	3	2	19	block_19:2:samsum:templated
171	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	samsum	templated	lmcache_no_native_radix	20262020	3	3	19	block_19:2:samsum:templated
172	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	samsum	rag	sglang_radix_attention_shadowkv_plus	20263021	1	1	20	block_20:3:samsum:rag
173	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	samsum	rag	sglang_radix_attention_shadowkv_plus	20263021	1	2	20	block_20:3:samsum:rag
174	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	samsum	rag	sglang_radix_attention_shadowkv_plus	20263021	1	3	20	block_20:3:samsum:rag
175	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	samsum	rag	lmcache_no_native_radix	20263021	2	1	20	block_20:3:samsum:rag
